create,chế tạo
way,"cách, đường"
celebration,kỉ niệm
ingredient,nguyên liệu
flour,bột mì
butter,bơ
sugar,đường
egg,trứng
baking powder,bột nở
extract,triết xuất
preheat,làm nóng
the oven,lò
start by,bắt đầu bằng
delicious,ngon
allow,cho phép
mixing,trộn
batter,hỗn hợp
bowl,tô
tookick,"tăm, que"
bake,nướng
light,ánh sáng
fluffy,mịn
until,cho tới khi
pour,đổ
prepare,chuẩn bị
insert,"đặt vào, chèn vào"
spread,phết...
decorate,trang trí
frirting,tán tỉnh
tips,những lời khuyên
here are,đây là
celebrity,người nổi tiếng
wonderful,tuyệt vời
genuine,chân thành
exciting,thú vị
fun,vui
humorous,hài hước
laugh,cười
cough,ho 
interest,quan tâm
ask,hỏi 
feel,cảm giác
connect,kết nối 
contact,giao tiếp
enjoying,tận hưởng
friendly,thân thiện
compliment,lời khuyên
actively listening,lắng nghe chăm chú
confident,tự tin
let your personality shine,hãy để bản thân bạn được toả sáng
positive,tích cực
excellent,xuất xắc
degree,bằng cấp
company,công ty
introduce,giới thiệu
most of them,hầu hết bọn họ
"apply to, supply",nộp đơn...
experiment,thí nghiệm
experience,trải nghiệm
service,dịch vụ
refuse,từ chối
accept,chấp nhận
salary,lương
merit,công lao
granduate,tốt nghiệp
there might be,có thể có
interview,phỏng vấn
unforntunately,xuôi xẻo thay
exactly,chính xác
enthusiast,niềm đam mê
early,gần
routine,thói quen
daily,hằng ngày
mothly,hằng tháng
annually,hằng năm
there might ,chẳng hề
pain,đau
customer,khách hàng
serious,nghiêm trọng
emergency,khẩn cấp
near,gần
turn,"biến, quay"
speacially,đặc biệt
mystery,bí ẩn
please not,xin hãy chú ý
imaginate,giả tưởng
progress well,tiến triển tốt
base,dựa trên
his spirit leaf his body,thần rời khỏi xác
neighbor,hàng xóm
giving birth,"việc đẻ, sinh,..."
average,trung bình
ginger,gừng
up to,lên tới
date,"hẹn hò, ngày"
visit,thăm
lazy,lười
receive,nhận
any,bất kì
nearly,gần
early,sớm
anoying,phiền phức
thing,điều
town,thị trấn
isolate,hẻo lánh
college,cao đẳng
middle,giữa
far,xa
pratice,thực hành
presentation,thuyết trình
throught,thông qua
deliver,truyền đạt
delivery,vận chuyển
reason,lí do
palm,lòng bàn tay
sweaty,ưới đẫm
pace,nhịp
anxious,lo lắng
doubt,nghi ngờ
adapt,thích nghi
debt,món nợ
frauds,lừa đảo
front,đằng trước
terrifying,"đáng lo lắng, khinh khủng"
situation,"tình huống, trường hợp"
behind,đằng sau
increase,tăng
improve,cải thiện
sound,âm thanh
noise,tiếng ồn
loud,ồn
exper,chuyên gia
focus,tập trung
force,"ép, lực,..."
classic,"cổ điển, retro"
classify,phân loại
concentrate,tập trung
both,"2, cả hai,"
"avoid, dodge","tránh, né"
ttravel,du lịch
travelling,đi du lịch
cultural,văn hóa
traindition,truyền thống
stunning,ngoan ngục
landscape,phong cảnh
lanmark,di tích
adventure,cuộc phiêu lưu
departure,khởi hành
unforgetable,khó quên
taste,nếm thử
cusine,ẩm thực
thriling,hồi hộp
wanderlust,thích khám phá
explore,khám phá
each,mỗi
each other,nhau
journey,hành trình
bring,mang đến
generate,"chế tạo, tạo ra...."
button,nút
cerner,góc
negative,tiêu cực
navigate,điều hướng
native,một cách tự nhiên...
possible,...nhất có thể
impossible,không thể nào
larger,rộng lớn
type,"nhập, kiểu"
partner,cộng sự
parent,cha mẹ
patent,bằng sáng chế
invention,sự phát minh
purpose,mục đích
pose to,đặt ra
key thing,điều quan trọng
keep in mind,"cần lưu ý, cần phải nhớ"
remind,nhắc nhở
remaining,còn lại
be ,hãy
to able to,có thể
promptly,kịp thời
loyal ,trung thành
avocado,trái bơ
advocate,biện hộ
quickly,nhanh chóng
efficiently,hiệu quả
solve,gỡ rối
resolve,giải quyết
treaty,hiệp ước
treat ,đối xử
extra,thêm
mile,dặm
provide,cung cấp
provider,nhà cung cấp 
obessed,ám ảnh
agrument,cải nhau
proactive,chủ động
misunderstand,hiểu lầm
grade,cấp
lid,nắp...
unfamiliar,không quen
physical,vật chất
metal,tinh thần
despite,cho dù
express,thể hiện
enough,đủ
chores, việc nhà
distance,khoảng cách
appreciate,đánh giá cao
evaluate,đánh giá
consider,xem xét
value,giá trị
sibling,anh em ruột
decide,quyết đinh
arriver,tới
elementary,tiểu học
relationship,mối quan hệ
advise,lời khuyên
irreplaceable,không thể thay thế
bustle,nhộn nhịp
hustle,hối hả
well-know,nối tiếng
vibrant,sôi động 
unque,độc nhất
acient,cổ đại
acident,tai tạn
structure,cấu trúc
architecture,kiến trúc
"beach, coast,shore",bờ biển
attractive,hấp dẫn
acctraction,thu hút
describle,miêu tả
treapt,run rẩy
capital,thủ đô
citadal,trung tâm
visitor,khách tham quan
"definitely,certain,sure",chắc chắn
due,đến hạn
undeniably,không thể phủ nhận
deniable,có thể phủ nhận
surprises,bất ngờ
foreign,nước ngoài
atmostphere,không khí xung quanh
town,"thị trấn, quê "
rat race,nhịp sống nhanh
blow,nở 
destination,điểm đến
impressive,thu hút
comtemplate,thưởng thức
urban,thị trấn
"rural, countryside",nông thôn
limstone,đá vôi
cover,bao phủ
island,đảo
natural,thiên nhiên
wonder,kì quan
celebry,người nổi tiếng
idol,thần tượng
make a killing,kiếm được nhiều tiền
make a fortune,kiếm được nhiều tiền
actress,nữ diễn viên
actor,nam diễn viên
climax,cực điểm
miss,"hoa hậu, nhớ"
talent,tài năng
property,tài sản
worth,giá trị 
cinema,rạp phim
audience,khán giả
apperance,vẻ bề ngoài
mention,nhắc đến
ability,khả năng
extensive,sâu rộng
undoubtedly,chắc chắn
overuse,lạm dụng
kind,"loại, tốt bụng"
desire,mong muốn
tried,"thử,..."
admire,ngưỡng mộ
tie ,"cà vạt, buộc..."
intructor,"người hướng dẫn,..."
tour,chuyến du lịch
economic,kinh tế
campus,khuôn viên
facilities,cơ sở
prestiage,uy tín
praise,lời khen
authenticate,xác thực
lector,giảng viên
unemployment,thất nghiệp
orient,"định hướng, hướng..."
attend,"tham gia, bước vào"
criteria,tiêu chuẩn
tuition,học kì
determine,xác định
identify,"tìm ra, nhận dạng"
requirement,yêu cầu
eviroiment,môi trường
self-study,tự học
nessesary ,cần thiết
direction,hướng
extremely,vô cùng
excerbate,thêm trầm trọng
sedentary,thụ động
depresstion,trầm cảm
consequence,hậu quả
consciousness,ý thức
autism,tự kỷ
nutrition,dinh dưỡng
excessive,quá mức
prevent,ngăn chặn
approach,tiếp cận 
access,truy cập
harm,làm hại
immediately,ngay lập tức
convenient,thuận lợi
advantage,lợi thế
benefit,lợi ích
better,tốt hơn
